Date_x,FHFA House Price Index,Consumer Price Index,Mortgage Rate
2020-01-01,280.71,257.971,3.62
2019-11-01,276.7,257.208,3.7
2019-12-01,278.94,256.974,3.72
2020-04-01,284.32,256.389,3.31
2020-05-01,283.66,256.394,3.23
2020-06-01,286.78,257.797,3.16
2020-07-01,290.4,259.101,3.02
2020-08-01,295.24,259.918,2.94
2020-09-01,299.79,260.28,2.89
2020-10-01,304.41,260.388,2.83
2020-11-01,307.8,260.229,2.77
2020-12-01,311.73,260.474,2.68
2021-01-01,315.25,261.582,2.74
2021-02-01,318.55,263.014,2.81
2021-03-01,323.84,264.877,3.08
2021-04-01,329.45,267.054,3.06
2021-05-01,335.27,269.195,2.96
2021-06-01,341.37,271.696,2.98
2021-07-01,346.4,273.003,2.87
2021-08-01,350.09,273.567,2.84
2021-09-01,353.43,274.31,2.9
2021-10-01,357.92,276.589,3.07
2021-10-01,357.92,276.589,3.07
2021-11-01,362.53,277.948,3.07
2021-11-01,362.53,277.948,3.07
2021-12-01,367.56,278.802,3.1
2022-02-01,379.95,283.716,3.76
2022-04-01,391.93,289.109,4.98
2022-05-01,396.65,292.296,5.23
2022-06-01,397.19,296.311,5.52
2022-07-01,394.62,296.276,5.41
2022-08-01,392.05,296.171,5.22
2022-09-01,392.35,296.808,6.11
